stepIdx	time_s	pureY	pureZ	zEnergyFrac	zEF_avg5	procRmsZ	stepFreqHz	rmsZdivFreq	stepVarH	dmag	recentStepVarYZ	varYZRatio	dmagRatio	zfRatio	freqRatio	energyFracZ	zPeakYRatio	stairConfidence	fsmLabel	armSpin	floorGT
88	55.887	-0.795891	0.772704	0.492609	0.639927	1.63121	1.36799	1.19242	1.31349	1.10708	0.301367	0.0270834	0.889631	1.10921	0.880078	0.669507	0.130113	0	ground	0	up
89	56.521	0.0519663	0.592454	0.919358	0.661795	1.64798	1.67504	0.983846	0.77418	0.866806	0.294011	0.0292722	0.718347	0.92302	1.06932	0.778037	0.198081	0	ground	0	up
90	57.116	-0.59446	0.691905	0.537876	0.676761	1.7322	1.49031	1.16231	1.4389	0.654032	0.207579	0.0229107	0.56803	1.08067	0.956036	0.675224	0.228902	0.971018	ground	0	up
91	57.731	0.761295	1.86472	0.710095	0.703475	1.68923	1.85529	0.910494	0.993468	1.79264	0.539627	0.0657416	1.47479	0.859739	1.16796	0.741542	0.215125	0.961828	ground	0	up
92	58.405	-0.82806	1.2458	0.600716	0.652131	1.29989	1.68067	0.773433	0.978664	1.70561	0.595023	0.0799012	1.3488	0.750559	1.05193	0.633038	0.239748	0	ground	0	up
93	58.982	-0.157161	0.845479	0.843252	0.722259	1.74158	1.48588	1.17208	1.0207	0.781258	0.522011	0.0772836	0.642372	1.122	0.936565	0.74798	0.127695	0.944226	ground	0	up
94	59.711	-0.993251	1.24104	0.555452	0.649478	1.47573	1.40449	1.05072	1.04382	0.924943	0.560099	0.091295	0.779173	1.00524	0.895539	0.675258	0.204404	0.935346	ground	0	up
95	60.403	-0.98856	-0.0015721	0.00158777	0.54222	1.44795	1.68067	0.861532	0.689596	1.24263	0.833268	0.148669	1.04191	0.838985	1.06401	0.750335	0.20418	0.914342	stair	0	up
96	61.268	-1.98172	0.340958	0.146795	0.42956	1.49155	1.18343	1.26036	1.24969	1.05057	0.586077	0.104566	0.880883	1.22737	0.749217	0.63961	0.0654092	0.909615	stair	0	ground
97	61.922	-0.118164	1.3339	0.918623	0.493142	1.46168	1.33156	1.09772	1.42118	2.11159	0.731889	0.130581	1.77052	1.06899	0.842994	0.599049	0.0543016	0.899566	stair	0	ground
98	62.48	-0.269095	1.62523	0.857947	0.496081	2.37634	1.4881	1.5969	2.52312	0.328109	0.829424	0.147983	0.275112	1.55511	0.942096	0.689434	0.336141	0.887679	stair	0	ground
99	63.133	0.0231317	1.99213	0.988521	0.582695	1.60805	1.7331	0.927848	1.42729	0.469051	1.13501	0.202504	0.39329	0.903566	1.09721	0.644321	0.274268	0.865133	stair	0	ground
100	63.671	-0.848611	0.636274	0.4285	0.668077	1.86156	1.62602	1.14486	1.93379	1.61192	0.914862	0.163226	1.35156	1.1149	1.02941	0.636592	0.257563	0.858043	stair	0	ground
101	64.286	-0.284563	0.892774	0.758299	0.790378	1.78274	1.79533	0.992989	1.66316	0.619631	0.326381	0.0582317	0.519547	0.967002	1.1366	0.656274	0.174978	0.878975	stair	0	ground
102	64.844	-0.733468	1.21117	0.622826	0.731219	1.9551	1.62866	1.20043	1.99807	0.550358	0.342888	0.0611769	0.461463	1.16902	1.03109	0.655543	0.170242	0.893937	stair	0	ground
103	65.478	-0.493311	0.996647	0.668909	0.693411	1.93435	1.7301	1.11805	1.81092	0.322019	0.311454	0.0555686	0.270006	1.08879	1.09531	0.673862	0.171934	0.90656	stair	0	ground
104	66.016	0.385518	1.25065	0.764377	0.648582	1.80856	1.67785	1.0779	3.27427	0.914799	0.240517	0.0429122	0.76704	1.0497	1.06223	0.497386	0.115558	0.919192	stair	0	ground
105	66.689	-2.15596	1.28391	0.373244	0.637531	1.46935	1.85185	0.79345	4.04119	2.54169	0.724784	0.129313	2.13116	0.772686	1.17239	0.346189	0.189056	0.907066	stair	0	ground
106	67.824	0.152248	1.58413	0.912318	0.668335	1.19924	0.94697	1.26639	4.09447	2.32765	0.831968	0.148437	1.95168	1.23325	0.599516	0.259862	0.184713	0.89319	stair	0	ground
107	68.438	0.0562242	0.794081	0.933877	0.730545	1.14808	1.21065	0.948315	1.02014	0.795862	0.916658	0.163547	0.667313	0.923498	0.766451	0.562766	0.14792	0.879006	stair	0	ground
108	69.092	-0.434347	1.14006	0.72412	0.741587	1.65805	1.67785	0.988197	1.63975	0.600303	0.907938	0.161991	0.503341	0.962336	1.06223	0.625218	0.190724	0.868757	stair	0	ground
