stepIdx	time_s	pureY	pureZ	zEnergyFrac	zEF_avg5	procRmsZ	stepFreqHz	rmsZdivFreq	stepVarH	dmag	recentStepVarYZ	varYZRatio	dmagRatio	zfRatio	freqRatio	energyFracZ	zPeakYRatio	stairConfidence	fsmLabel	armSpin	floorGT
49	29.895	1.961	2.28486	0.538138	0.628014	2.48681	1.62602	1.52939	6.31509	2.10092	1.09748	0.592568	0.862501	1.16011	0.884681	0.492762	0.30128	0.12717	stair	0	ground
50	30.394	0.74846	1.52106	0.670212	0.657358	2.20226	2	1.10113	6.22985	1.43305	1.05508	0.569679	0.588316	0.835254	1.08816	0.435516	0.0775491	0	stair	0	ground
51	30.972	1.30971	0.983571	0.428892	0.561303	2.45031	1.73611	1.41138	4.88582	0.777112	0.802331	0.433208	0.319031	1.07059	0.944581	0.548146	0.351733	0	stair	0	ground
52	31.511	-1.45532	-0.257358	0.150266	0.443679	1.95669	1.85874	1.0527	6.19304	3.03073	2.05869	1.11156	1.24422	0.798519	1.0113	0.379816	0.383221	0	ground	0	ground
53	32.086	3.3239	-0.199994	0.0567536	0.368852	2.22034	1.7331	1.28114	4.52543	4.77956	3.44171	1.71141	1.78995	0.974545	0.948355	0.521141	0.268138	0	ground	0	ground
54	32.624	-0.446765	1.17015	0.723692	0.405963	1.5108	1.85874	0.812812	2.65947	4.01188	3.1811	1.49485	1.43057	0.642834	1.01537	0.461566	0.325122	0	ground	0	ground
55	33.182	3.49783	0.695005	0.16576	0.305073	2.13101	1.79211	1.18911	3.32855	3.97311	4.26745	1.82215	1.36007	0.946071	0.981035	0.575854	0.272843	0	ground	0	ground
56	33.739	0.37763	0.85333	0.693223	0.357939	2.30752	1.92678	1.1976	3.04044	3.12421	4.35904	1.71367	1.0621	0.957347	1.04901	0.6362	0.066364	0	ground	0	ground
57	34.316	1.23213	1.54596	0.556483	0.439182	1.72865	1.62602	1.06312	2.30609	1.09996	2.81976	1.09663	0.398912	0.8628	0.895538	0.563727	0.0636003	0	ground	0	ground
58	34.892	-0.184102	0.995716	0.843957	0.596623	1.59981	1.92678	0.830302	1.90306	1.51937	2.10978	0.835508	0.576919	0.696568	1.05473	0.572673	0.0567132	0	ground	0	ground
59	35.45	0.795339	-0.319349	0.286491	0.509183	2.10128	1.68067	1.25026	1.46075	1.63973	1.97442	0.799336	0.647037	1.04378	0.927429	0.750358	0.243582	0	ground	0	ground
60	36.046	0.121349	1.33509	0.91668	0.659367	1.70453	1.7331	0.983512	1.64444	1.78646	0.669549	0.292377	0.72637	0.836045	0.960553	0.636711	0.17002	0	ground	0	ground
61	36.623	1.32349	1.17834	0.47099	0.61492	2.35974	1.7331	1.36157	2.68028	1.21232	0.791479	0.369822	0.519257	1.13948	0.964357	0.675061	0.0557004	0	ground	0	ground
62	37.238	-0.404718	1.39684	0.775351	0.658694	2.2583	1.68067	1.34369	2.24728	1.74197	0.811862	0.404448	0.76555	1.11069	0.941284	0.693022	0.289914	0	ground	0	up
63	38.026	-0.0659294	2.33738	0.972567	0.684416	2.01252	1.44092	1.39669	2.10777	0.999695	1.11986	0.583691	0.465435	1.13693	0.82289	0.655013	0.281451	0	ground	0	up
64	38.66	0.658605	1.6326	0.712551	0.769628	2.03248	1.57978	1.28656	0.594404	1.01078	0.533246	0.299568	0.4969	1.04236	0.9111	0.873651	0.346763	0	ground	0	up
65	39.275	-0.00846552	1.08523	0.992259	0.784744	2.87904	1.30039	2.21398	1.43258	0.862901	0.58067	0.349777	0.450123	1.66183	0.769202	0.85255	0.193632	0.488569	ground	0	up
66	39.928	-0.491345	2.64377	0.843277	0.859201	2.36463	1.57729	1.49917	1.10801	1.63163	0.504858	0.326856	0.863985	1.11137	0.939285	0.834217	0.327704	0.534713	ground	0	up
67	40.601	0.153933	1.01081	0.867839	0.877698	2.57475	1.67785	1.53455	1.12569	1.75583	0.567348	0.392122	0.93633	1.12216	0.999255	0.854501	0.31314	0.553004	stair	0	up
68	41.217	-0.0699263	2.30339	0.970536	0.877292	2.89784	1.57729	1.83723	0.916594	1.31182	0.559623	0.386783	0.699553	1.34349	0.939363	0.901406	0.278927	0.568057	stair	0	up
69	41.831	0.0270256	2.44336	0.98906	0.932594	3.29112	1.67785	1.96151	2.43763	0.170269	0.541242	0.374079	0.0907992	1.43437	0.999255	0.816291	0.270236	0.582523	stair	0	up
70	42.466	-0.0267384	0.293177	0.916418	0.917426	3.33447	1.62602	2.0507	1.54687	2.15085	0.898449	0.620963	1.14698	1.49959	0.968384	0.87767	0.212761	0.531652	stair	0	up
71	43.061	0.0527548	1.64206	0.968872	0.942545	3.13964	1.57729	1.99053	2.01521	1.35122	0.654579	0.452412	0.720564	1.45559	0.939363	0.830258	0.224392	0.535636	stair	0	up
72	43.735	0.139791	2.32657	0.943321	0.957641	2.89772	1.44509	2.00522	1.6634	0.690019	0.653134	0.451413	0.367965	1.46634	0.86063	0.834655	0.224172	0.538873	stair	0	up
73	44.35	0.700924	2.47353	0.779198	0.919374	3.43825	1.79211	1.91854	1.66222	0.580061	0.757842	0.523782	0.309328	1.40295	1.0673	0.876714	0.118518	0.52321	stair	0	ground
74	45.041	0.476773	3.52988	0.881004	0.897763	3.29513	1.36986	2.40544	2.53845	1.07986	1.21587	0.840348	0.575857	1.759	0.81583	0.810273	0.0759775	0.48051	stair	0	ground
