stepIdx	time_s	pureY	pureZ	zEnergyFrac	zEF_avg5	procRmsZ	stepFreqHz	rmsZdivFreq	stepVarH	dmag	recentStepVarYZ	varYZRatio	dmagRatio	zfRatio	freqRatio	energyFracZ	zPeakYRatio	stairConfidence	fsmLabel	armSpin	floorGT
51	28.38	0.165325	1.304	0.887482	0.822683	1.73977	1.85185	0.939477	0.226955	0.668952	0.251452	1.65865	1.09433	0.959002	1.02821	0.930033	0.068768	0	ground	0	ground
52	28.94	-0.132185	1.63245	0.925092	0.826189	1.82439	1.78571	1.02166	0.141637	0.443156	0.220854	1.39317	0.745459	1.03844	0.992336	0.959145	0.0548391	0	ground	0	ground
53	29.5	-0.0536104	1.4839	0.965131	0.826368	1.79779	1.78571	1.00676	0.161735	0.168048	0.22249	1.34906	0.304528	1.02092	0.993097	0.952299	0.0536199	0	ground	0	ground
54	30.04	-0.334079	1.77185	0.841362	0.850312	1.8356	1.78571	1.02794	0.187617	0.401968	0.185793	1.11247	0.748759	1.03799	0.993783	0.947247	0.052956	0	ground	0	up
55	30.6	0.0975645	1.8179	0.949064	0.913626	2.49488	1.85185	1.34724	0.122376	0.434093	0.0669475	0.426408	0.824379	1.31309	1.02745	0.980717	0.0245514	0	ground	0	up
56	31.16	-0.0999719	2.00993	0.952617	0.926653	2.48693	1.85185	1.34294	0.17155	0.275493	0.0507927	0.346987	0.54938	1.26968	1.02463	0.973001	0.0222817	0.136953	ground	0	up
57	31.72	0.347965	1.69167	0.829398	0.907515	2.42531	1.78571	1.35817	0.191926	0.54949	0.0802916	0.574441	1.08538	1.24861	0.989224	0.968401	0.0216654	0.164868	ground	0	up
58	32.28	0.395857	2.08162	0.840217	0.882532	2.40508	1.78571	1.34685	0.106587	0.39288	0.0968255	0.714692	0.793815	1.20939	0.990291	0.98189	0.0235183	0.175999	stair	0	up
59	32.82	-0.10374	1.74616	0.943921	0.903044	2.48565	1.78571	1.39197	0.283691	0.601774	0.0681895	0.503323	1.21589	1.24991	0.990291	0.956094	0.109194	0.194475	stair	0	up
60	33.38	0.326095	1.71852	0.84051	0.881333	2.4205	1.78571	1.35548	0.174026	0.430723	0.0774358	0.571572	0.870276	1.21714	0.990291	0.97113	0.111679	0.200143	stair	0	up
61	33.94	0.277191	2.3316	0.893747	0.869559	2.45296	1.78571	1.37366	0.210362	0.615032	0.0961656	0.709822	1.24267	1.23346	0.990291	0.96621	0.0959425	0.208473	stair	0	up
62	34.5	-0.532552	2.13535	0.800385	0.863756	2.47425	1.85185	1.3361	0.210013	0.833186	0.177298	1.30868	1.68346	1.19974	1.02697	0.966801	0.139652	0.206289	stair	0	up
