time_s	globalX	globalY	globalZ	pureX	pureY	pureZ	localFwdY	localLatX	varYZRatio	dmagRatio	zfRatio	freqRatio	stairConfidence	rmsZdivFreq	stepVarH	stepFreqHz	procRmsZ	dmag	recentStepVarYZ	dirR1	energyFracZ	zPeakYRatio	envZ	envH	stairScore	fsmLabel	armSpin	floorGT	isStep	stepIdx	totalSteps
0.733	-0.546296	-0.749592	-1.74009	-0.393899	-0.94976	-0.628538	-1.02134	-0.118634	1	1	1	1	0	0	0	0	0	0	99	3.03129e-314	0	0	0.921866	0.952286	-0.0304199	ground	0	ground	0	-1	0
0.752	-0.073132	-0.301723	-1.64672	0.0788685	-0.499381	-0.532492	-0.457726	0.214684	1	1	1	1	0	0	0	0	0	0	99	3.03129e-314	0	0	0.902397	0.92995	-0.0275528	ground	0	ground	0	-1	0
0.773	0.210084	0.106616	-0.292396	0.360274	-0.0905872	0.817719	0.0166714	0.371114	1	1	1	1	0	0	0	0	0	0	99	3.03129e-314	0	0	0.898163	0.902027	-0.00386363	ground	0	ground	0	-1	0
0.792	0.635826	0.253286	0.548744	0.782086	0.0558024	1.65056	0.281551	0.731779	1	1	1	1	0	0	0	0	0	0	99	3.03129e-314	0	0	0.935783	0.896129	0.0396541	ground	0	ground	0	-1	0
0.813	0.939906	0.160445	0.664466	1.08074	-0.0368534	1.75746	0.290672	1.04156	1	1	1	1	0	0	0	0	0	0	99	3.03129e-314	0	0	0.976867	0.905391	0.071476	ground	0	ground	0	-1	0
0.844	1.13835	0.460308	0.841754	1.27278	0.261695	1.92507	0.645429	1.12778	1	0	1	1	0.1	0.470567	1.48141	3.57143	1.6806	0	99	3.03129e-314	0.562601	0.301517	1.02428	0.925092	0.0991853	ground	0	ground	1	1	1
0.853	0.722301	0.723489	0.995586	0.852451	0.522251	2.06851	0.772847	0.634133	1	0	1	1	0.1	0.470567	1.48141	3.57143	1.6806	0	99	3.03129e-314	0.562601	0.301517	1.07649	0.928823	0.147666	ground	0	ground	0	-1	1
0.875	0.715566	0.823568	1.18678	0.841487	0.619218	2.2484	0.867034	0.58291	1	0	1	1	0.1	0.470567	1.48141	3.57143	1.6806	0	99	3.03129e-314	0.562601	0.301517	1.13508	0.93462	0.200464	ground	0	ground	0	-1	1
0.892	1.23342	0.540747	1.15442	1.35254	0.334715	2.20496	0.791257	1.14687	1	0	1	1	0.1	0.470567	1.48141	3.57143	1.6806	0	99	3.03129e-314	0.562601	0.301517	1.18858	0.957556	0.231022	ground	0	ground	0	-1	1
0.912	1.85225	0.101196	1.14753	1.96152	-0.104311	2.18709	0.619961	1.86389	1	0	1	1	0.1	0.470567	1.48141	3.57143	1.6806	0	99	3.03129e-314	0.562601	0.301517	1.2385	1.00789	0.230611	ground	0	ground	0	-1	1
0.933	1.36473	-0.080335	1.5388	1.46663	-0.284413	2.56546	0.300305	1.46346	1	0	1	1	0.1	0.470567	1.48141	3.57143	1.6806	0	99	3.03129e-314	0.562601	0.301517	1.30485	1.0322	0.272656	ground	0	ground	0	-1	1
