dataset	stepIdx	gt	nSamples	trajAngle	aspectRatio	zRange	yRange	zDominance	netZ	netY	loopArea	rmsY	rmsZ
일반보행	116	ground	28	69.6464	3.5539	6.2265	3.7344	0.6251	-0.9916	0.1204	5.6560	0.8649	1.8260
일반보행	117	ground	31	70.0325	2.8534	6.0367	3.3102	0.6459	1.5823	0.6838	5.8364	0.7892	1.5455
일반보행	118	ground	28	74.1420	4.4322	7.4190	3.5197	0.6782	-0.6105	-0.4937	2.7758	0.7720	2.1367
일반보행	119	ground	32	72.8234	3.6725	7.0745	3.0236	0.7006	-0.3429	0.9076	3.2536	0.7835	1.7127
일반보행	120	down	37	87.9591	2.6819	6.5756	3.0025	0.6865	3.2503	-0.1108	11.9802	0.6582	1.7606
일반보행	121	down	26	87.2774	5.0705	8.5841	2.3593	0.7844	-0.9109	-1.2462	3.9660	1.0989	2.9550
일반보행	122	down	29	89.7207	3.5926	8.1085	3.3630	0.7068	1.8534	1.4182	6.9862	1.0358	2.9004
일반보행	123	down	26	88.0752	6.5926	10.8713	2.3439	0.8226	-0.7295	-1.6340	2.7249	0.7120	3.8070
일반보행	124	down	30	89.7418	4.3002	10.6519	3.0589	0.7769	0.8134	0.0167	3.2500	0.9833	3.6302
일반보행	125	down	26	86.7517	5.2315	11.5289	3.1328	0.7863	0.2205	0.3153	15.1576	0.8830	3.8048
일반보행	126	down	28	89.7432	4.8447	11.3913	2.7397	0.8061	-2.5041	0.6656	4.9272	0.8410	3.4189
일반보행	127	down	27	89.1322	5.5739	9.8316	2.3765	0.8053	-2.2207	0.4782	2.5096	0.8391	3.1982
일반보행	128	down	29	87.4489	3.0623	8.9617	3.2498	0.7339	3.6313	-0.0639	14.6509	1.0990	2.9080
일반보행	129	down	27	84.7131	7.5198	11.4151	2.2919	0.8328	0.9644	0.4874	2.3430	0.7904	3.7143
일반보행	130	down	28	86.8374	3.0595	11.4623	3.9520	0.7436	-3.0420	-1.1252	13.1879	1.1791	3.4432
일반보행	131	down	26	86.2359	4.4869	8.8702	2.2219	0.7997	-1.8224	1.1635	1.1157	0.9627	2.4347
일반보행	132	ground	33	82.0200	1.8549	4.5233	2.7418	0.6226	2.8262	0.0605	0.1246	0.7718	1.4933
일반보행	133	ground	29	75.4071	3.7282	6.4328	2.2991	0.7367	-2.7305	-0.9589	7.7458	0.9331	1.8162
일반보행	134	ground	28	80.5899	3.8721	6.1801	1.6184	0.7925	1.0809	0.9132	2.2142	0.6230	1.6229
일반보행	135	ground	27	68.0757	1.8701	5.7345	3.4200	0.6264	0.0302	-1.5117	13.8603	1.7801	1.6694
일반보행	136	ground	27	78.6782	3.1800	5.4671	3.4180	0.6153	-0.6465	0.7219	3.9297	0.6845	1.8465
일반보행	137	ground	31	81.2324	2.0766	3.6445	2.0268	0.6426	0.2975	0.4257	6.7225	0.7663	1.0827
일반보행	138	down	37	86.2973	3.1909	5.7165	1.8340	0.7571	0.5066	-1.0928	5.8255	0.4524	1.4251
일반보행	139	down	27	81.2389	4.3145	6.8939	2.0895	0.7674	0.1049	0.7436	1.7212	0.7482	2.0131
일반보행	140	down	31	89.2183	4.5783	8.1645	1.8545	0.8149	1.8046	-0.4951	1.0283	0.6437	2.3898
일반보행	141	down	28	83.7709	6.5093	8.8447	2.2875	0.7945	1.5829	1.5403	3.1219	0.7260	3.0752
일반보행	142	down	28	87.3279	3.1178	11.7745	4.3162	0.7318	-2.5347	-1.8176	6.2590	1.3679	3.3589
일반보행	143	down	28	89.1619	7.3688	10.1973	1.6564	0.8603	3.1407	0.2409	3.8342	0.6494	3.0547
일반보행	144	down	29	84.8855	2.9796	9.9309	3.2148	0.7554	-4.9894	-1.3203	0.4280	1.0728	2.6270
일반보행	145	down	28	86.2596	6.1041	9.4505	2.7899	0.7721	4.1893	2.5068	2.3327	0.7126	3.1296
일반보행	146	down	29	86.4301	3.6176	8.0093	2.8033	0.7407	-2.6347	-0.5276	8.8846	0.7888	2.4467
일반보행	147	down	27	87.0105	6.6005	9.6561	2.4858	0.7953	3.0581	-0.5702	5.8685	0.7585	3.0189
일반보행	148	down	28	87.9940	3.7857	10.9202	3.6568	0.7491	-0.7010	0.7690	8.6971	0.9356	3.5144
일반보행	149	down	28	82.0661	4.1194	8.6981	2.9659	0.7457	-0.5478	-1.7103	0.4957	1.0082	2.9728
일반보행	150	ground	27	87.8718	3.8322	8.9797	2.7390	0.7663	-1.2522	0.4249	2.5872	0.7700	2.7304
일반보행	151	ground	26	85.6260	3.4844	7.2561	2.1541	0.7711	0.0579	1.3565	6.3234	0.7797	1.8274
일반보행	152	ground	27	79.4510	5.2180	6.6017	2.1286	0.7562	-2.0268	-1.1065	2.5132	0.5817	1.9031
일반보행	153	ground	29	77.0177	2.8522	7.0426	2.8807	0.7097	-0.2314	0.1709	10.2124	0.7507	1.7462
일반보행	154	ground	29	71.5964	3.5221	7.8809	3.3869	0.6994	0.5082	-0.2635	9.8701	1.1890	1.8605
일반보행	155	ground	29	86.3775	3.6936	8.1922	1.9959	0.8041	-0.4515	-0.2827	5.4048	0.6237	2.1600
일반보행	156	ground	27	73.0768	3.1780	6.9142	3.3450	0.6740	1.5535	0.9246	2.4241	1.1011	1.9174
일반보행	157	ground	32	89.1225	3.7765	6.9242	1.5540	0.8167	-1.5604	-0.7616	6.5080	0.5423	1.7237
일반보행	158	ground	27	86.8550	2.5158	5.3783	2.1489	0.7145	-0.0219	-0.0887	3.4060	0.6043	1.4800
일반보행	159	ground	33	78.5479	2.7624	7.7795	3.3955	0.6962	1.1394	1.4647	16.6245	0.8443	1.7790
일반보행	160	ground	25	87.1710	5.2764	5.4320	1.1540	0.8248	-1.0230	-0.0295	0.2253	0.6917	1.4986
살살걸음	1	ground	30	89.9105	1.6840	6.7911	3.9750	0.6308	1.2063	-1.7803	0.2731	1.5657	2.6051
살살걸음	2	ground	28	74.9953	1.4598	4.6708	3.9343	0.5428	-2.0757	2.1473	1.3012	1.6955	1.8014
살살걸음	3	ground	88	47.1683	1.7046	4.0675	3.9466	0.5075	0.6635	0.5673	7.6157	0.8064	1.4020
살살걸음	4	ground	32	53.4656	1.9887	6.6676	5.1079	0.5662	1.6188	-1.2620	13.8729	1.3337	1.8210
살살걸음	5	ground	26	66.2397	2.3357	5.7577	4.2077	0.5778	-1.9045	0.8462	11.3197	1.0189	1.7935
살살걸음	6	ground	31	60.3575	3.5476	7.2699	4.0353	0.6431	2.5766	-2.5185	7.4203	1.0597	1.8049
살살걸음	7	ground	26	58.6217	2.7712	6.1577	4.7843	0.5628	-1.3337	2.7006	8.3285	1.2213	1.7499
살살걸음	8	ground	29	66.0810	1.3964	3.5708	2.7972	0.5607	-0.9219	-0.1028	4.1327	0.8017	1.1547
살살걸음	9	ground	30	66.6485	2.0408	3.9787	2.7222	0.5938	1.1738	0.1338	4.4062	0.7127	1.1573
살살걸음	10	ground	31	65.8471	1.4447	3.0177	2.6651	0.5310	-0.3093	-0.6524	3.3226	0.7322	0.9864
살살걸음	11	ground	27	52.7585	2.0489	4.2271	3.9902	0.5144	-0.2729	1.3203	4.8742	1.0213	1.2616
살살걸음	12	ground	32	84.2626	1.6419	5.0391	3.0615	0.6221	0.0322	-0.8256	6.8991	0.8624	1.4071
살살걸음	13	ground	30	49.5385	1.6026	4.6353	3.9577	0.5394	-0.2108	0.8124	8.5799	1.1251	1.2103
살살걸음	14	ground	31	73.5826	1.2719	3.5387	3.2050	0.5247	0.2024	-0.1470	4.5941	0.8382	1.0558
살살걸음	15	ground	29	59.3943	2.0042	5.0187	3.9022	0.5626	-0.1347	-0.1077	6.1774	1.0591	1.4298
살살걸음	16	ground	33	63.6764	1.8141	5.0614	3.2415	0.6096	0.6232	-1.2165	4.9447	0.9866	1.3879
살살걸음	17	ground	27	56.6871	1.8395	4.5288	3.9166	0.5362	-0.3731	1.9480	6.5734	1.0339	1.2916
살살걸음	18	ground	31	75.4843	1.5775	4.9412	3.9336	0.5568	-0.1790	-1.5736	8.4395	0.9819	1.4575
살살걸음	19	ground	27	62.2146	2.9428	6.5748	4.4903	0.5942	-0.1412	0.8811	8.5777	1.0310	1.6762
살살걸음	20	ground	33	57.5117	1.9746	4.5339	3.4074	0.5709	1.7672	-1.2055	1.8610	0.8626	1.1235
살살걸음	21	ground	26	66.8163	3.3507	6.4908	4.2766	0.6028	-2.0642	1.6571	8.8562	1.0138	1.9503
살살걸음	22	ground	31	56.6778	2.9617	6.0589	4.4668	0.5756	1.5231	-1.9584	4.8558	1.1785	1.6383
