time_s	globalX	globalY	globalZ	pureX	pureY	pureZ	varYZRatio	dmagRatio	zfRatio	freqRatio	stairConfidence	rmsZdivFreq	stepVarH	stepFreqHz	procRmsZ	dmag	recentStepVarYZ	energyFracZ	zPeakYRatio	envZ	envH	stairScore	fsmLabel	armSpin	floorGT	isStep	stepIdx	totalSteps
1.431	0.166388	-0.061323	0.091002	0.190917	0.175015	1.21162	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	1.16354	0.821709	0.341827	ground	0	ground	0	-1	1
1.449	0.280207	-0.184634	0.0579	0.303212	0.0514456	1.17262	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	1.16399	0.796001	0.36799	ground	0	ground	0	-1	1
1.468	0.290215	-0.361125	0.440065	0.311654	-0.12442	1.54702	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	1.18314	0.77298	0.410162	ground	0	ground	0	-1	1
1.487	0.296126	-0.12163	-0.022222	0.315978	0.114499	1.07931	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	1.17795	0.751135	0.426815	ground	0	ground	0	-1	1
1.507	0.280912	0.00526	-0.209325	0.29926	0.240183	0.887741	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	1.16344	0.732764	0.430675	ground	0	ground	0	-1	1
1.526	0.171996	-0.01064	0.042605	0.189392	0.223161	1.13397	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	1.16197	0.710761	0.451205	ground	0	ground	0	-1	1
1.545	0.192337	-0.1715	0.267741	0.208684	0.0619896	1.35231	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	1.17148	0.686108	0.485376	ground	0	ground	0	-1	1
1.564	-0.282108	-0.744094	1.1263	-0.264432	-0.508051	2.19982	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	1.2229	0.68044	0.542461	ground	0	ground	0	-1	1
1.583	-0.149489	-0.419045	0.686848	-0.131154	-0.182087	1.75156	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	1.24933	0.657638	0.591696	ground	0	ground	0	-1	1
1.603	0.295	-0.092435	0.016079	0.311769	0.1438	1.07539	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	1.24064	0.641923	0.598714	ground	0	ground	0	-1	1
1.622	0.651575	0.071393	-0.479545	0.665002	0.30609	0.576868	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	1.20745	0.64643	0.561018	ground	0	ground	0	-1	1
1.642	0.704921	0.032683	-0.539668	0.714756	0.266043	0.514161	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	1.17278	0.652241	0.520542	ground	0	ground	0	-1	1
