time_s	globalX	globalY	globalZ	pureX	pureY	pureZ	localFwdY	localLatX	varYZRatio	dmagRatio	zfRatio	freqRatio	stairConfidence	rmsZdivFreq	stepVarH	stepFreqHz	procRmsZ	dmag	recentStepVarYZ	dirR1	energyFracZ	zPeakYRatio	envZ	envH	stairScore	fsmLabel	armSpin	floorGT	isStep	stepIdx	totalSteps
0.685	2.19988	-0.199953	-0.477503	1.60577	-0.451393	-2.06739	0.0546912	1.66711	1	0	1	1	0	0.62522	2.68514	4.16667	2.60509	0	99	3.01549e-314	0.527768	0.461723	1.53952	1.7388	-0.199276	ground	0	ground	0	-1	1
0.706	1.74483	-0.430238	-1.27293	1.14497	-0.67827	-2.84849	-0.27794	1.30144	1	0	1	1	0	0.62522	2.68514	4.16667	2.60509	0	99	3.01549e-314	0.527768	0.461723	1.60497	1.7184	-0.113427	ground	0	ground	0	-1	1
0.726	0.869601	-2.24914	0.431274	0.268386	-2.48469	-1.13857	-2.23865	1.11093	1	0	1	1	0	0.62522	2.68514	4.16667	2.60509	0	99	3.01549e-314	0.527768	0.461723	1.58165	1.75744	-0.175784	ground	0	ground	0	-1	1
0.746	1.86722	-2.37014	0.82748	1.25968	-2.59265	-0.738655	-1.96111	2.11251	1	0	1	1	0	0.62522	2.68514	4.16667	2.60509	0	99	3.01549e-314	0.527768	0.461723	1.5395	1.81369	-0.274186	ground	0	ground	0	-1	1
0.765	1.91449	-2.43823	1.05881	1.30041	-2.64744	-0.504787	-1.94436	2.21798	1	0	1	1	0	0.62522	2.68514	4.16667	2.60509	0	99	3.01549e-314	0.527768	0.461723	1.48777	1.87048	-0.382716	ground	0	ground	0	-1	1
0.786	1.43477	-2.30382	0.353352	0.81659	-2.50047	-1.2042	-1.96808	1.74524	1	0	1	1	0	0.62522	2.68514	4.16667	2.60509	0	99	3.01549e-314	0.527768	0.461723	1.47359	1.90848	-0.434892	ground	0	ground	0	-1	1
0.806	0.877816	-2.0658	-0.046401	0.258335	-2.25114	-1.59593	-1.93837	1.17348	1	0	1	1	0	0.62522	2.68514	4.16667	2.60509	0	99	3.01549e-314	0.527768	0.461723	1.4797	1.92635	-0.446647	ground	0	ground	0	-1	1
0.826	1.01359	-1.99258	0.149454	0.392138	-2.16702	-1.39307	-1.79098	1.28146	1	0	1	1	0	0.62522	2.68514	4.16667	2.60509	0	99	3.01549e-314	0.527768	0.461723	1.47537	1.94014	-0.464772	ground	0	ground	0	-1	1
0.845	0.781031	-2.14814	0.475418	0.158782	-2.31097	-1.06177	-2.02092	1.13212	1	0	1	1	0	0.62522	2.68514	4.16667	2.60509	0	99	3.01549e-314	0.527768	0.461723	1.45469	1.95896	-0.504265	ground	0	ground	0	-1	1
0.866	0.761718	-2.31881	0.420307	0.138771	-2.46923	-1.1113	-2.13875	1.24182	1	0	1	1	0	0.62522	2.68514	4.16667	2.60509	0	99	3.01549e-314	0.527768	0.461723	1.43752	1.98467	-0.547144	ground	0	ground	0	-1	1
0.886	0.504718	-1.80534	-0.678265	-0.117638	-1.94598	-2.19882	-1.77724	0.801319	1	0	1	1	0	0.62522	2.68514	4.16667	2.60509	0	99	3.01549e-314	0.527768	0.461723	1.47559	1.98291	-0.507322	ground	0	ground	0	-1	1
0.906	0.512546	-1.32917	-1.8881	-0.109261	-1.46247	-3.39161	-1.34052	0.594774	1	0	1	1	0	0.62522	2.68514	4.16667	2.60509	0	99	3.01549e-314	0.527768	0.461723	1.57139	1.95709	-0.385703	ground	0	ground	0	-1	1
0.926	0.286068	-1.42641	-1.89763	-0.33406	-1.55191	-3.38414	-1.52035	0.456679	1	0	1	1	0	0.62522	2.68514	4.16667	2.60509	0	99	3.01549e-314	0.527768	0.461723	1.66203	1.93861	-0.276583	ground	0	ground	0	-1	1
0.946	-0.052069	-1.36286	-1.67338	-0.668836	-1.48092	-3.14409	-1.61892	0.139853	1	0	1	1	0	0.62522	2.68514	4.16667	2.60509	0	99	3.01549e-314	0.527768	0.461723	1.73613	1.92293	-0.186797	ground	0	ground	0	-1	1
0.966	-0.155825	-1.83943	-0.659621	-0.768729	-1.9477	-2.11968	-2.07307	0.294729	1	0	1	1	0	0.62522	2.68514	4.16667	2.60509	0	99	3.01549e-314	0.527768	0.461723	1.75531	1.93148	-0.176169	ground	0	ground	0	-1	1
