stepIdx	time_s	pureY	pureZ	zEnergyFrac	zEF_avg5	procRmsZ	stepFreqHz	rmsZdivFreq	stepVarH	dmag	recentStepVarYZ	varYZRatio	dmagRatio	zfRatio	freqRatio	energyFracZ	zPeakYRatio	stairConfidence	fsmLabel	armSpin	floorGT
67	38.546	0.111931	0.209612	0.651891	0.410062	2.75827	1.79211	1.53912	2.51479	1.40843	0.801361	0.409043	0.79978	0.780127	1.03664	0.751356	0.489736	0	ground	0	ground
68	39.102	-0.84877	0.911394	0.517789	0.342902	3.31657	1.79533	1.84733	6.78083	1.18972	0.558198	0.306868	0.698241	0.942347	1.03452	0.618112	0.306052	0	ground	0	ground
69	39.637	-0.268446	-0.52851	0.66316	0.472621	3.0694	1.85874	1.65134	3.26457	1.55245	0.553132	0.326827	0.919292	0.85586	1.06349	0.742638	0.47074	0	ground	0	ground
70	40.23	-1.48127	-0.516233	0.258439	0.51575	2.89926	1.7331	1.67287	5.6569	1.21288	0.75862	0.474419	0.739042	0.878705	0.992444	0.597641	0.484345	0	ground	0	ground
71	40.845	-0.600066	2.19728	0.785487	0.575353	2.28997	1.79211	1.27781	2.70368	2.85301	1.33369	0.848123	1.61887	0.69401	1.02355	0.659031	0.219478	0	ground	0	ground
72	41.364	-0.390332	-0.426206	0.521966	0.549368	3.20795	1.73611	1.84778	4.05832	2.63186	1.35455	0.873501	1.42317	1.00322	0.992403	0.714829	0.203336	0	ground	0	ground
73	41.976	0.561852	0.679806	0.547498	0.55531	2.39343	1.68067	1.42409	3.30656	1.45942	1.55351	1.00162	0.806174	0.79113	0.964502	0.634009	0.194195	0	ground	0	ground
74	42.574	-1.66061	0.841553	0.336331	0.489944	1.85403	1.62602	1.14023	2.3635	2.22834	1.62708	1.04393	1.20313	0.657538	0.939417	0.592433	0.201636	0	ground	0	ground
75	43.158	-0.330025	1.55745	0.825149	0.603286	2.11125	1.85185	1.14008	3.45207	1.51094	1.28511	0.839255	0.831106	0.680769	1.06247	0.56348	0.26705	0	ground	0	ground
76	43.748	0.207303	2.19547	0.913723	0.628933	2.44959	1.57729	1.55304	3.02744	0.834141	1.35099	0.892783	0.485076	0.934146	0.913625	0.664658	0.0452884	0	ground	0	ground
77	44.342	-0.168701	1.37384	0.890634	0.702667	2.39292	1.79533	1.33286	2.86898	0.903575	0.86623	0.598006	0.551631	0.817925	1.03579	0.666145	0.194706	0	ground	0	ground
78	44.926	0.779078	1.86056	0.704854	0.734138	2.93684	1.62602	1.80616	4.57964	1.06545	0.862916	0.620818	0.674014	1.09649	0.943948	0.652798	0.457177	0	ground	0	ground
79	45.498	0.319392	0.0784136	0.197115	0.706295	2.81168	1.7301	1.62515	3.16926	1.84048	0.675029	0.511978	1.14549	0.987929	1.00393	0.713832	0.450143	0	ground	0	ground
80	46.075	1.20475	0.943083	0.439085	0.629082	2.93366	1.73611	1.68979	3.7195	1.23754	0.775148	0.613182	0.788343	1.02443	1.00667	0.697358	0.365802	0	ground	0	ground
81	46.613	0.814949	1.44239	0.638978	0.574133	3.08827	1.85874	1.66149	4.64484	0.633446	0.58884	0.492089	0.429115	1.00654	1.06946	0.669465	0.343983	0	ground	0	ground
82	47.168	2.05283	-0.579757	0.220223	0.440051	3.22888	1.79856	1.79525	5.55827	2.37096	1.13202	0.951158	1.51436	1.07814	1.03124	0.651894	0.440521	0	ground	0	ground
83	47.803	0.28569	1.15362	0.801509	0.459382	2.96429	1.67785	1.76672	3.50495	2.47536	0.986944	0.843664	1.49422	1.05457	0.965699	0.714787	0.156824	0	ground	0	ground
84	48.567	1.06913	3.38635	0.760041	0.571967	1.95412	1.7301	1.12948	2.15467	2.36619	1.94276	1.55779	1.36966	0.6969	0.996194	0.627951	0.158249	0	ground	0	down
85	49.186	-2.09192	6.59288	0.759129	0.635976	4.19351	1.23916	3.38416	2.45492	4.50267	7.89472	4.12929	2.24563	1.88316	0.734551	0.87688	0.27331	0.166093	ground	0	down
86	49.712	-3.08758	5.03032	0.619657	0.632112	6.77868	1.85874	3.64693	4.9332	1.85282	10.4112	3.7697	0.93113	1.83998	1.09072	0.902258	0.440344	0.334564	ground	0	down
87	50.225	-1.86362	9.44139	0.835151	0.755097	6.69783	1.85874	3.60343	2.88506	4.57773	10.345	2.93881	2.03577	1.68056	1.08091	0.939562	0.427933	0.421062	stair	0	down
88	50.765	2.77158	2.26166	0.449344	0.684664	6.96369	2.079	3.34953	4.15702	8.54597	11.1872	3.17805	3.8005	1.56215	1.20901	0.920566	0.210455	0.456333	stair	0	down
89	51.284	-4.70875	10.5101	0.690598	0.670776	6.25983	1.85874	3.36779	5.33145	11.1352	15.123	4.29613	4.95195	1.57066	1.08091	0.88018	0.21548	0.484915	stair	0	down
90	51.77	-4.06673	9.56134	0.701592	0.659268	7.29029	2.00401	3.63786	9.23218	1.14557	17.1835	4.88148	0.50945	1.69661	1.16539	0.850176	0.135185	0.537839	stair	0	down
91	52.243	-3.156	7.11176	0.69263	0.673863	6.43959	1.99601	3.22623	3.25367	2.61341	15.9615	4.53434	1.16221	1.50464	1.16074	0.927086	0.107844	0.52954	stair	0	down
92	52.722	-0.837625	6.69327	0.888775	0.684588	5.90784	2.1692	2.72351	2.54809	2.35584	15.649	4.44555	1.04767	1.27018	1.26146	0.931812	0.488144	0.464701	stair	0	down
93	53.203	-4.18231	9.88822	0.702761	0.735271	7.78033	2	3.89016	2.53815	4.62544	4.27199	1.21358	2.05699	1.81428	1.16306	0.959732	0.00916215	0.552096	stair	0	down
94	53.653	-3.15607	11.5131	0.78485	0.754122	7.2272	2.17391	3.32451	6.03993	1.92183	4.7048	1.33654	0.854661	1.55048	1.2642	0.895482	0.348567	0.551691	stair	0	down
95	54.126	-0.719808	4.76468	0.868756	0.787554	5.47483	2.25734	2.42535	2.0986	7.17472	7.69086	2.18482	3.19069	1.13113	1.31271	0.933568	0.409882	0.44655	stair	0	down
96	54.661	-1.56009	2.33062	0.599022	0.768833	3.31698	1.92678	1.72151	3.57101	2.57502	12.9675	3.68381	1.14514	0.802874	1.12049	0.742842	0.41736	0.285631	stair	0	ground
