stepIdx	time_s	localFwdY	pureZ	zEnergyFrac	zEF_avg5	procRmsZ	stepFreqHz	rmsZdivFreq	stepVarH	dmag	recentStepVarYZ	varYZRatio	dmagRatio	zfRatio	freqRatio	dirR1	energyFracZ	zPeakYRatio	stairConfidence	fsmLabel	armSpin	floorGT
43	25.582	1.44747	0.316395	0.179375	0.479147	1.54872	2	0.774358	1.07443	4.97197	3.38957	3.43517	2.93265	0.880817	1.08432	0.873983	0.690416	0.104141	0.2	stair	0	ground
44	26.184	-0.479537	1.4572	0.752399	0.584632	1.43495	1.6129	0.889672	1.22483	2.23938	3.02513	3.06582	1.32087	1.01198	0.874454	0.869139	0.626975	0.107014	0.4	ground	0	ground
45	26.725	0.959619	0.540257	0.360201	0.49502	1.49722	1.72414	0.86839	1.2558	1.70644	3.32111	2.72185	1.00587	0.988986	0.9409	0.80439	0.640339	0.104841	0.4	ground	0	ground
46	27.321	0.54767	0.712938	0.56555	0.514077	1.09395	1.78891	0.611516	0.965358	0.446677	3.27128	2.29519	0.284235	0.718242	0.978571	0.773989	0.553493	0.140397	0	ground	0	ground
47	27.882	1.35619	0.798825	0.370682	0.445642	1.68163	1.60772	1.04598	1.55504	0.813065	0.636799	0.472954	0.543615	1.20108	0.890186	0.804306	0.644474	0.161566	0.6	ground	0	ground
48	28.478	-0.476136	1.23608	0.721918	0.55415	1.53329	1.92678	0.795775	1.1355	1.88377	0.674961	0.527609	1.22763	0.921725	1.05977	0.849718	0.67297	0.155939	0.7	stair	0	ground
49	29.022	1.68593	0.673517	0.285455	0.460761	1.66251	1.72712	0.962595	1.12115	2.23406	0.618346	0.483354	1.45591	1.11495	0.949946	0.82717	0.710224	0.14798	0.7	stair	0	ground
50	29.625	-0.20596	1.48256	0.878023	0.564326	1.42686	1.78571	0.799042	1.4943	2.05762	0.815191	0.637225	1.34093	0.925508	0.982176	0.875253	0.576711	0.0693649	0.15	stair	0	ground
51	30.163	1.72281	0.318934	0.156207	0.482457	1.80333	1.66667	1.082	1.36082	2.25259	1.08728	0.84991	1.46799	1.25325	0.916698	0.824058	0.704579	0.173206	0.75	stair	0	ground
52	30.761	-0.66982	1.46409	0.686106	0.545542	1.74011	1.78891	0.972723	1.38089	2.65256	1.35008	1.05534	1.72864	1.12668	0.983933	0.788551	0.686527	0.165944	0.5	stair	0	ground
53	31.301	1.17721	0.248695	0.174413	0.436041	1.41909	1.66667	0.851455	1.35405	2.21104	1.27709	0.998288	1.44091	0.986217	0.916698	0.723744	0.592437	0.176524	0.3	ground	0	ground
54	31.902	-0.705841	1.03656	0.594904	0.49793	1.37546	1.84843	0.744124	1.29991	2.04122	1.28662	1.00516	1.28772	0.873968	1.01498	0.695494	0.592409	0.171976	0	ground	0	ground
55	32.441	1.75029	0.558973	0.242057	0.370737	1.65188	1.67224	0.987827	1.21639	2.50213	1.45645	1.12237	1.49216	1.1419	0.925803	0.701099	0.691565	0.109607	0.5	ground	0	ground
56	33.02	-0.157007	0.774163	0.831386	0.505773	1.59737	1.85185	0.862578	1.20311	1.9194	1.17801	0.916244	1.12833	0.997405	1.02266	0.673166	0.679486	0.104108	0.5	ground	0	ground
