stepIdx	time_s	localFwdY	pureZ	zEnergyFrac	zEF_avg5	procRmsZ	stepFreqHz	rmsZdivFreq	stepVarH	dmag	recentStepVarYZ	varYZRatio	dmagRatio	zfRatio	freqRatio	dirR1	energyFracZ	zPeakYRatio	stairConfidence	fsmLabel	armSpin	floorGT
36	20.899	-0.128555	0.744042	0.852674	0.774388	1.63152	1.92678	0.846757	0.946672	0.863078	0.256215	0.440082	0.771747	1.00484	1.03892	0.848612	0.735886	0.00970172	0.9	ground	0	ground
37	21.479	0.252559	0.918794	0.784386	0.743073	1.54334	1.72712	0.893594	1.13297	0.419269	0.272967	0.495156	0.3999	1.05405	0.937705	0.849569	0.677663	0.0869819	0.9	stair	0	ground
38	21.995	-0.0387807	0.277223	0.877275	0.754843	1.65602	1.79211	0.92406	1.49269	0.704622	0.315086	0.571559	0.67207	1.08999	0.972994	0.821259	0.647344	0.0981176	0.9	stair	0	ground
39	22.574	0.209569	1.30145	0.861306	0.860018	1.70726	1.78891	0.954356	1.95935	1.05391	0.237408	0.430652	1.00522	1.12573	0.971254	0.860742	0.597682	0.336659	0.8	stair	0	ground
40	23.11	0.0325821	0.379426	0.920917	0.859312	1.47933	1.79211	0.825468	1.55756	0.93886	0.1591	0.288605	0.895487	0.973695	0.972994	0.914275	0.580631	0.34283	0.7	stair	0	ground
41	23.669	0.177725	1.26313	0.876652	0.864107	1.43945	1.78891	0.804653	1.41192	0.895541	0.197573	0.358393	0.854169	0.949142	0.971254	0.890512	0.592087	0.354912	0.7	stair	0	ground
42	24.211	-0.142203	0.54104	0.791869	0.865604	1.48786	1.84843	0.80493	2.33891	0.789787	0.211751	0.384112	0.7533	0.949469	1.00357	0.877625	0.482138	0.179051	0.4	stair	0	ground
43	24.807	0.413958	2.46569	0.856247	0.861398	1.55072	1.79211	0.865302	1.57387	2.0034	0.579164	1.05059	1.91084	1.02068	0.972994	0.89471	0.604172	0.219558	0.5	ground	0	ground
44	25.33	0.0426845	1.26668	0.9674	0.882617	1.94231	2.00803	0.967269	1.89793	1.25518	0.577509	1.04263	1.17404	1.1251	1.08047	0.907237	0.664432	0.118272	0.6	ground	0	ground
45	25.949	0.426345	2.08007	0.829898	0.864413	1.68704	1.66667	1.01222	1.57814	0.899332	0.5069	0.922983	0.854771	1.15687	0.906146	0.904927	0.642919	0.12958	0.6	stair	0	ground
46	26.444	-0.264194	0.67006	0.717213	0.832525	1.79049	1.7301	1.0349	2.053	1.57002	0.657205	1.19666	1.49223	1.18279	0.940636	0.948319	0.608819	0.144182	0.4	stair	0	ground
47	27.026	-0.0771957	1.22178	0.940571	0.862266	1.77181	1.85529	0.955008	1.37568	0.582551	0.490677	0.893442	0.553686	1.09148	1.0087	0.963251	0.695013	0.0542466	0.7	stair	0	ground
48	27.546	-1.11847	1.46372	0.566852	0.804387	1.77577	1.78891	0.992654	2.23596	1.06901	0.46903	0.854027	1.01604	1.1345	0.972607	0.959328	0.583512	0.051353	0.6	stair	0	ground
49	28.125	0.129592	0.673547	0.838642	0.778635	1.77906	1.92678	0.923331	1.92251	1.47717	0.552405	1.00584	1.40398	1.05527	1.04757	0.927407	0.621947	0.0482483	0.4	stair	0	ground
50	28.643	-0.572103	1.36586	0.704792	0.753614	2.08835	1.72712	1.20916	2.17683	0.985737	0.305867	0.556934	0.936894	1.38194	0.939011	0.89629	0.665945	0.183997	0.8	stair	0	ground
51	29.263	0.599919	1.21173	0.668854	0.743942	1.42867	1.85529	0.770051	0.940188	1.18211	0.423871	0.7718	1.12354	0.880089	1.0087	0.88754	0.684627	0.120109	0.55	stair	0	ground
52	29.762	-0.158185	0.366923	0.698756	0.695579	1.50264	1.72712	0.870029	1.49888	1.13508	0.525838	0.957466	1.07884	0.994354	0.939011	0.877737	0.60032	0.123784	0.2	ground	0	ground
