stepIdx	time_s	localFwdY	pureZ	zEnergyFrac	zEF_avg5	procRmsZ	stepFreqHz	rmsZdivFreq	stepVarH	dmag	recentStepVarYZ	varYZRatio	dmagRatio	zfRatio	freqRatio	dirR1	energyFracZ	zPeakYRatio	stairConfidence	fsmLabel	armSpin	floorGT
64	37.03	-0.36941	1.00928	0.732058	0.6471	2.8046	1.61812	1.73324	3.66778	2.56317	3.60194	0.302901	0.678775	1.04131	0.926561	0.645508	0.6802	0.155908	0	ground	0	ground
65	37.607	0.394803	1.21433	0.754649	0.707033	1.84992	1.92308	0.961956	1.21746	0.791243	2.48471	0.226898	0.227521	0.603398	1.09015	0.588237	0.736885	0.317649	0.8	ground	0	ground
66	38.15	-0.897361	1.45791	0.618999	0.637353	1.64301	1.67224	0.982522	3.48052	1.31492	1.15951	0.11628	0.403177	0.64089	0.952917	0.939876	0.418929	0.278918	0.2	ground	0	ground
67	38.767	0.32749	2.44761	0.88199	0.667748	2.28986	1.78891	1.28003	0.869389	1.57473	1.35333	0.148557	0.50917	0.848966	1.01743	0.952874	0.857507	0.422148	1	ground	0	up
68	39.386	-0.38372	3.40697	0.898773	0.777294	2.24497	1.72712	1.29984	1.38065	1.19423	1.04186	0.125479	0.411395	0.874154	0.984025	0.958145	0.784873	0.156583	1	stair	0	up
69	39.945	0.825558	3.01366	0.784967	0.787876	2.16483	1.85529	1.16684	0.802475	1.27163	1.10537	0.133129	0.438058	0.784714	1.05705	0.965764	0.853562	0.245426	1	stair	0	up
70	40.541	-1.85477	4.17934	0.692619	0.77547	2.73704	1.72712	1.58475	2.7178	2.92284	1.71722	0.206818	1.00687	1.06576	0.984025	0.978396	0.732864	0.15667	0.6	stair	0	up
71	41.103	0.632803	3.02685	0.827086	0.817087	3.93426	1.61551	2.4353	1.97833	2.74158	1.27346	0.153373	0.944434	1.63777	0.920437	0.988883	0.886643	0.231257	0.9	stair	0	up
72	41.642	-0.556679	4.43472	0.888472	0.818384	3.99565	1.79211	2.22958	1.82666	1.84309	1.27262	0.153271	0.634918	1.49941	1.02106	0.990988	0.897082	0.188325	0.9	stair	0	up
73	42.222	1.33311	2.58475	0.659736	0.770576	3.72528	1.85529	2.00792	1.74174	2.64456	1.84001	0.221606	0.911011	1.35035	1.05705	0.989648	0.888238	0.188776	0.9	stair	0	up
74	42.794	0.149323	2.3063	0.939191	0.801421	4.07575	1.67224	2.4373	1.11004	1.21609	1.91334	0.230438	0.418925	1.63911	0.95276	0.986258	0.936308	0.141609	1	stair	0	up
75	43.395	0.556583	0.0837523	0.130794	0.689056	2.66357	1.85185	1.43833	1.59652	2.25955	2.36554	0.2849	0.778383	0.967291	1.05509	0.983565	0.815743	0.139277	0.9	stair	0	up
76	43.952	-0.152661	1.825	0.922807	0.7082	3.24069	1.47493	2.19719	1.62382	1.88015	2.37006	0.285445	0.647685	1.47763	0.84034	0.982954	0.865466	0.141997	0.9	stair	0	up
77	44.549	0.304215	0.703404	0.698085	0.670123	2.91631	1.85529	1.57189	0.626261	1.21108	1.16763	0.140627	0.4172	1.05711	1.05705	0.984336	0.931255	0.151267	1	stair	0	up
78	45.235	0.302888	2.56046	0.894219	0.717019	2.65234	1.5674	1.69219	1.61179	1.85706	0.95819	0.115402	0.639729	1.13802	0.893026	0.982991	0.813355	0.142047	0.9	stair	0	ground
79	45.773	1.59137	2.04258	0.562082	0.641597	1.97894	1.51745	1.30412	2.18875	1.38867	1.16881	0.140769	0.478375	0.877038	0.864568	0.985752	0.636395	0.380582	0.7	stair	0	ground
