dataset	step	gt	start_pY	start_pZ	rangeY	rangeZ	aspect	zFrac	area	path_len	meanZ_offset	maxZ_offset	angle_deg	quadrant	n_samples
일반보행	14	ground	0.829071	0.602762	3.645041	5.46893	1.5003750299722198	0.6916855933887163	4.6685715999229	19.272037060196286	-0.46977351724137933	3.0615680000000003	-157.18584250177216	1	29
일반보행	15	ground	-0.41903	1.38481	4.339465	4.42481	1.019666935977837	0.6687640114932422	6.360615931928999	18.2992356429316	-1.0631437307692309	1.48925	-91.20556270488808	2	26
일반보행	16	ground	-0.260334	2.24904	3.11548	3.72876	1.1968488974896654	0.7267622812920707	3.0300913252629	18.361917694306356	-2.1697741515151514	0.0	-82.60698135318691	2	33
일반보행	17	ground	-0.289714	1.93748	3.1105799999999997	3.7043399999999997	1.190883632350355	0.6851234130416441	2.802807008083419	15.191408542380417	-1.6853602307692308	0.6196999999999997	-84.61284976060793	2	26
일반보행	18	ground	0.634786	0.974622	3.55225	5.12967	1.4440618075693412	0.6790001524414021	4.001644345880719	23.76751423306587	-0.9281339036363636	2.354838	-115.25175686329946	1	33
일반보행	19	ground	-0.448362	1.60889	4.52259	4.69533	1.0381946985699126	0.5710805056318917	5.912757546250701	15.848739429980197	-1.3897911407407406	1.1660200000000003	-82.24013952061861	2	27
일반보행	20	ground	0.775543	1.32362	3.37992	4.72565	1.39815398052203	0.7398741813705522	4.960488460714149	19.022404954438745	-1.2625552933333333	1.4005100000000001	-115.84469654934547	1	30
일반보행	21	ground	0.467349	1.11627	4.75361	5.0488800000000005	1.062114674507443	0.6141071043235012	7.451951611965249	18.504013356148647	-0.9707716964285715	1.7060499999999998	-126.8291095050224	1	28
일반보행	22	ground	0.657496	1.61024	3.5840899999999998	4.71711	1.3161245068833354	0.7076470718483923	3.50867392538934	20.714146565141633	-1.5103590519999999	1.34108	-109.79108389578326	1	30
일반보행	23	ground	0.250015	0.431213	3.9620800000000003	4.83707	1.2208407652443247	0.5875474302388354	4.96144970489475	16.356004141711633	-0.2799712107142857	2.455857	-147.0408380958574	1	28
일반보행	24	ground	0.834311	1.89246	2.89055	4.21774	1.4591474082277045	0.7551118472879866	3.9901371256508997	17.36733381253975	-1.975882164516129	0.47443000000000013	-110.53332036618684	1	31
일반보행	25	ground	-0.928639	2.36689	4.19522	6.27069	1.494722208913428	0.7083640972931624	5.723388100962291	20.027113596273065	-2.277818211111111	1.40394	-70.61667169069229	2	27
일반보행	26	ground	1.63393	0.655469	3.64032	5.47583	1.5042162490615525	0.7462612293931714	4.7021858443345	21.962214510686728	-0.6197016966666666	2.6498209999999998	-158.19381433598744	1	30
일반보행	27	ground	-0.634935	2.59938	5.0556600000000005	5.2702	1.0424354006330723	0.621529283681584	6.55726422699275	18.119672019464975	-2.4047199444444445	0.81935	-80.32959198317094	2	27
일반보행	28	ground	1.1999	0.571873	2.75956	4.72162	1.7110040328878395	0.7728593942749077	4.97472145909615	18.915295567723973	-0.5992561935483871	2.124297	-151.01087631704988	1	31
일반보행	29	ground	-0.174373	1.5971	4.08192	5.2269000000000005	1.2805000390747396	0.6685835090379417	7.189286977995778	16.929944377883697	-1.4201153888888889	1.6906800000000002	-90.8175370993553	2	27
일반보행	30	ground	1.07141	0.578132	3.7627	4.60327	1.223395108992184	0.6705088984759588	8.26474980117715	18.594502912423902	-0.6251357966666666	1.916648	-142.1576953142154	1	30
일반보행	31	ground	0.620442	1.31758	4.69102	5.07361	1.0815577248535022	0.6635128010544376	10.6818118945392	18.869628720804833	-1.1726634692307691	1.9146200000000002	-128.01236812164623	1	26
일반보행	32	ground	0.375639	0.643081	3.857	5.59033	1.4493981204568003	0.7355350724503157	4.928111554462678	22.40965566626982	-0.6240649146875	3.020099	-102.87605057044023	1	32
