time_s	globalX	globalY	globalZ	pureX	pureY	pureZ	varYZRatio	dmagRatio	zfRatio	freqRatio	stairConfidence	rmsZdivFreq	stepVarH	stepFreqHz	procRmsZ	dmag	recentStepVarYZ	energyFracZ	zPeakYRatio	envZ	envH	stairScore	fsmLabel	armSpin	floorGT	isStep	stepIdx	totalSteps
0.906	-0.638389	-0.317038	3.72126	-0.448997	0.370996	4.67113	1	0	1	1	0	0.547057	1.54253	3.7037	2.02614	0	99	0.703067	0.126097	1.96449	1.19904	0.76545	ground	0	ground	0	-1	1
0.925	-1.81727	-0.446061	4.99114	-1.61974	0.240764	5.9113	1	0	1	1	0	0.547057	1.54253	3.7037	2.02614	0	99	0.703067	0.126097	2.16183	1.22096	0.940865	ground	0	ground	0	-1	1
0.945	-2.44815	-0.32276	4.74383	-2.23936	0.362244	5.63567	1	0	1	1	0	0.547057	1.54253	3.7037	2.02614	0	99	0.703067	0.126097	2.33552	1.27334	1.06218	ground	0	ground	0	-1	1
0.964	-2.41276	-0.320684	3.26068	-2.19295	0.362499	4.13176	1	0	1	1	0	0.547057	1.54253	3.7037	2.02614	0	99	0.703067	0.126097	2.42533	1.32081	1.10453	ground	0	ground	0	-1	1
0.983	-2.05547	-0.528937	1.40731	-1.82649	0.153474	2.267	1	0	1	1	0	0.547057	1.54253	3.7037	2.02614	0	99	0.703067	0.126097	2.41741	1.34641	1.071	ground	0	ground	0	-1	1
1.002	-1.61982	-1.24136	0.412021	-1.38388	-0.556151	1.26535	1	0	1	1	0	0.547057	1.54253	3.7037	2.02614	0	99	0.703067	0.126097	2.35981	1.35366	1.00615	ground	0	ground	0	-1	1
1.021	-1.26234	-1.54649	-0.167813	-1.02127	-0.856978	0.68209	1	0	1	1	0	0.547057	1.54253	3.7037	2.02614	0	99	0.703067	0.126097	2.27592	1.35264	0.923285	ground	0	ground	0	-1	1
1.041	-0.737521	-1.53303	-0.995498	-0.493969	-0.839302	-0.144867	1	0	1	1	0	0.547057	1.54253	3.7037	2.02614	0	99	0.703067	0.126097	2.16937	1.3337	0.83567	ground	0	ground	0	-1	1
1.06	-0.114471	-1.24729	-2.06089	0.128435	-0.550788	-1.20421	1	0	1	1	0	0.547057	1.54253	3.7037	2.02614	0	99	0.703067	0.126097	2.12111	1.29529	0.825819	ground	0	ground	0	-1	1
1.079	0.360095	-0.527984	-2.42741	0.599986	0.167671	-1.56288	1	0	1	1	0	0.547057	1.54253	3.7037	2.02614	0	99	0.703067	0.126097	2.0932	1.26168	0.831523	ground	0	ground	0	-1	1
